Loan Status,Current Loan Amount,Credit Score,Annual Income,dti
0,445412.0,709.0,1167493.0,0.0536
0,347666.0,721.0,806949.0,0.13
1,206602.0,729.0,896857.0,0.219
0,217646.0,730.0,1184194.0,0.11
0,548746.0,678.0,2559110.0,0.0875
0,215952.0,739.0,1454735.0,0.324
0,234124.0,727.0,693234.0,0.246
0,666204.0,723.0,1821967.0,0.116
0,390390.0,747.0,1791738.0,0.0166
1,317108.0,687.0,1133274.0,0.102
0,128238.0,750.0,1354073.0,0.117
1,153252.0,714.0,1890690.0,0.139
0,91894.0,724.0,850383.0,0.0827
0,244926.0,704.0,1249953.0,0.0654
0,465410.0,688.0,1722654.0,0.109
0,443960.0,749.0,1432391.0,0.211
0,334620.0,729.0,1348620.0,0.1505
1,130174.0,733.0,524609.0,0.213
0,333564.0,725.0,1248338.0,0.175
0,125796.0,745.0,1261068.0,0.196
0,161172.0,720.0,796499.0,0.0513
0,449108.0,718.0,1454507.0,0.108
1,688468.0,682.0,1494616.0,0.118
1,288948.0,712.0,537472.0,0.129
0,266112.0,750.0,919296.0,0.169
0,129712.0,723.0,1465698.0,0.149
0,287980.0,737.0,1013954.0,0.191
0,439428.0,710.0,1518024.0,0.1654
1,456808.0,598.0,1096167.0,0.157
0,518012.0,719.0,1193010.0,0.228
1,219692.0,661.0,527839.0,0.323
1,374176.0,652.0,1239199.0,0.05
1,176198.0,736.0,1902090.0,0.179
1,78012.0,738.0,728726.0,0.1669
0,669372.0,725.0,2158210.0,0.193
0,130922.0,747.0,2261304.0,0.0518
0,174548.0,721.0,1620681.0,0.226
1,290224.0,644.0,837045.0,0.118
0,718784.0,672.0,1648915.0,0.114
1,523908.0,737.0,1028774.0,0.264
0,323466.0,699.0,2048618.0,0.164
0,144562.0,751.0,1060922.0,0.2234
0,211222.0,694.0,947625.0,0.113
0,162360.0,720.0,486875.0,0.211
0,311058.0,675.0,1343167.0,0.191
0,163966.0,678.0,719910.0,0.213
0,433312.0,736.0,1010401.0,0.264
0,89320.0,748.0,1832075.0,0.0872
0,392282.0,688.0,974662.0,0.128
0,262988.0,743.0,1340279.0,0.0837
0,498586.0,666.0,1351679.0,0.286
0,378334.0,714.0,2120514.0,0.202
1,194942.0,742.0,1212238.0,0.25
0,731566.0,705.0,1377443.0,0.117
0,156772.0,748.0,1411966.0,0.192
0,158818.0,731.0,315666.0,0.324
1,78738.0,624.0,536370.0,0.314
0,453464.0,712.0,895147.0,0.228
0,595672.0,685.0,1305927.0,0.125
0,166672.0,705.0,1048667.0,0.185
0,132792.0,751.0,668990.0,0.11
1,119504.0,745.0,938315.0,0.151
0,33022.0,723.0,1673007.0,0.181
0,280588.0,717.0,671080.0,0.312
1,556336.0,714.0,1402960.0,0.167
0,311872.0,680.0,1063810.0,0.318
0,340604.0,618.0,928701.0,0.274
1,765160.0,719.0,2643242.0,0.157
1,109802.0,745.0,474069.0,0.0379
1,349756.0,737.0,2491945.0,0.112
0,545886.0,718.0,1565182.0,0.318
0,354046.0,676.0,1815469.0,0.0365
0,472098.0,692.0,2316575.0,0.127
1,86174.0,721.0,837311.0,0.156
1,509586.0,678.0,1816001.0,0.173
0,218988.0,740.0,775409.0,0.126
0,328262.0,746.0,1133958.0,0.216
1,663168.0,732.0,1527296.0,0.174
0,133078.0,709.0,804460.0,0.136
0,752290.0,649.0,2320375.0,0.203
0,262724.0,695.0,1229072.0,0.21
0,54076.0,744.0,485697.0,0.0656
1,552882.0,686.0,1262151.0,0.226
1,232716.0,637.0,1049427.0,0.148
0,286462.0,719.0,1380426.0,0.238
0,223256.0,740.0,804916.0,0.101
0,348832.0,704.0,497306.0,0.0786
0,537878.0,743.0,1296807.0,0.231
0,196460.0,746.0,942590.0,0.193
0,214786.0,723.0,883329.0,0.162
0,109538.0,697.0,567606.0,0.122
0,117986.0,694.0,1886890.0,0.0204
0,133804.0,725.0,1386734.0,0.145
0,87846.0,736.0,625879.0,0.134
1,332684.0,722.0,881087.0,0.173
0,190498.0,706.0,892164.0,0.121
0,448822.0,741.0,1027444.0,0.252
0,229086.0,715.0,787626.0,0.0997
1,393558.0,678.0,2317392.0,0.114
0,151954.0,707.0,562419.0,0.306
0,254562.0,738.0,669123.0,0.243
1,87912.0,750.0,960184.0,0.0429
1,156178.0,716.0,1124040.0,0.092
0,645018.0,737.0,2692471.0,0.18
1,168300.0,702.0,688522.0,0.205
0,174460.0,723.0,1318429.0,0.096
0,768394.0,651.0,1651252.0,0.14
0,314226.0,723.0,2638454.0,0.159
0,64966.0,723.0,1224968.0,0.227
0,300366.0,730.0,833188.0,0.193
0,263648.0,736.0,1138518.0,0.135
0,716958.0,718.0,1934960.0,0.197
1,459602.0,712.0,982870.0,0.157
0,405856.0,708.0,1155751.0,0.335
1,547580.0,710.0,1125978.0,0.104
0,175428.0,698.0,1136238.0,0.0274
0,234806.0,689.0,866799.0,0.0509
1,25806.0,685.0,742976.0,0.103
0,332706.0,735.0,957790.0,0.136
0,333124.0,703.0,1300246.0,0.121
0,441276.0,747.0,2305669.0,0.125
0,327756.0,707.0,830319.0,0.134
0,476586.0,707.0,1403207.0,0.156
0,261800.0,738.0,1488536.0,0.17
1,433136.0,682.0,1178323.0,0.183
1,322124.0,716.0,1020034.0,0.199
0,437668.0,749.0,2683693.0,0.0268
0,377322.0,740.0,1288162.0,0.159
0,606122.0,693.0,1395911.0,0.207
0,520982.0,724.0,1031111.0,0.198
1,304590.0,746.0,1202510.0,0.289
1,472362.0,732.0,1075058.0,0.248
1,322872.0,708.0,985245.0,0.1327
0,149402.0,727.0,841491.0,0.267
0,150458.0,737.0,1330513.0,0.0401
0,341352.0,712.0,751108.0,0.165
1,432256.0,737.0,2053216.0,0.0953
0,301114.0,645.0,825246.0,0.0865
0,79398.0,718.0,761824.0,0.212
0,171842.0,724.0,612199.0,0.132
0,329120.0,715.0,1515896.0,0.171
0,486288.0,707.0,1654577.0,0.164
0,104368.0,691.0,853974.0,0.317
0,205854.0,717.0,1898860.0,0.2
1,96690.0,673.0,280136.0,0.197
0,111408.0,733.0,1154592.0,0.195
0,284152.0,700.0,1054519.0,0.173
1,269170.0,714.0,1259206.0,0.144
0,149116.0,700.0,1380160.0,0.158
0,396792.0,731.0,745997.0,0.121
0,128832.0,719.0,1483520.0,0.0678
0,152790.0,743.0,678661.0,0.0787
1,152966.0,708.0,1334902.0,0.0975
1,292292.0,741.0,666805.0,0.112
0,449460.0,658.0,1057768.0,0.216
0,86724.0,716.0,580469.0,0.152
0,763840.0,742.0,1639776.0,0.173
1,83864.0,699.0,564414.0,0.249
1,142846.0,750.0,654227.0,0.298
1,551980.0,720.0,1906840.0,0.211
1,177628.0,709.0,843771.0,0.0715
0,398464.0,715.0,975004.0,0.189
0,732028.0,737.0,1724193.0,0.223
0,660132.0,722.0,1634323.0,0.139
0,25894.0,748.0,1024727.0,0.149
0,128634.0,695.0,463657.0,0.256
0,429264.0,735.0,1816571.0,0.225
1,427988.0,729.0,1624082.0,0.0269
